Voltage.EMG01_r_gastro,Voltage.EMG02_r_soleus,Voltage.EMG03_r_rect_fem,Voltage.EMG04_r_tfl,Voltage.EMG05_r_semimemb,Voltage.EMG06_l_gastro,Voltage.EMG07_l_soleus,Voltage.EMG08_l_rect_fem,Voltage.EMG09_l_tfl,Voltage.EMG10_l_semimemb,
0.022623902,0.003258972,0.036661375,0.031706847,0.033068847,0.020561524,0.060745545,0.03209015,0.024819946,0.019615173,
0.028269654,0.017602233,0.007669678,0.028960265,0.037341308,0.047264405,0.035415955,0.013779602,-0.015768433,0.012138367,
0.042002562,0.027062682,0.038034666,0.025298156,0.032916259,0.018883057,0.041977234,0.029038392,0.031076049,0.017326355,
0.031016236,0.035760194,0.036203612,0.013701477,0.030322265,0.019035645,0.0335849,0.027359925,0.0355011,0.000694275,
0.049784545,0.031945497,0.026743164,0.01705841,0.036120605,0.035972901,0.043960877,0.03209015,0.03336487,0.017173767,
0.022471314,-0.028021546,0.028421631,0.031096496,0.019335937,0.031547852,0.041977234,0.004624329,0.042825319,0.031669617,
0.019114381,0.027520446,0.034525145,0.058714904,0.041613769,0.021782227,0.038162537,0.030259095,0.042520143,0.033500671,
0.020029908,0.034386903,0.029489746,0.076415099,0.043597411,0.045585938,0.029007263,0.02919098,0.032754518,0.015647888,
0.020335084,0.04689911,0.029794922,0.071074523,0.020098876,0.032463379,0.018478699,0.018052064,0.025888061,0.026481628,
0.014231567,0.074212343,0.019571533,0.055205382,0.032458495,0.027733155,0.014664002,0.019120179,0.033212282,0.021446228,
0.020487672,0.075585634,0.029642334,0.061766662,0.030169677,0.04467041,0.032669373,0.028275453,0.026651001,0.011985779,
0.054057006,0.099847108,0.019266358,0.038878478,0.030627441,0.051384278,0.022598572,0.021408997,0.049539186,0.028007507,
0.044443969,0.065209657,0.024606934,0.02499298,0.029406738,0.042686768,0.022140808,0.018204652,0.035806276,0.03289032,
0.031473998,0.122430116,0.023691406,0.016142882,0.021166991,0.041160889,0.029159851,0.055741273,0.037789918,0.040977478,
0.036814574,0.088708192,0.031168213,0.012175598,0.044970702,0.032005616,0.029922791,0.042313538,0.026651001,0.02129364,
0.04215515,0.108086854,0.042154539,0.011107483,0.038256835,0.046348877,0.035110779,0.028122865,0.044808961,0.025566101,
